TRI,hour,maxT,minT,windSpeed,cloudy,dark,medium
319,13,34,27,1,0,1,0
969,14,34,27,1,0,1,0
6,15,34,27,1,0,1,0
40,16,34,27,1,0,1,0
62,17,34,27,1,0,1,0
18,18,34,27,1,0,1,0
0,19,34,27,1,0,1,0
0,20,34,27,1,0,1,0
0,21,34,27,1,0,1,0
0,22,34,27,1,0,1,0
0,23,34,27,1,0,1,0
0,0,31,26,1,0,1,0
0,1,31,26,1,0,1,0
0,2,31,26,1,0,1,0
0,3,31,26,1,0,1,0
0,4,31,26,1,0,1,0
0,5,31,26,1,0,1,0
38,6,31,26,1,0,1,0
19,7,31,26,1,0,1,0
215,8,31,26,1,0,1,0
999999,9,31,26,1,0,1,0
231,10,31,26,1,0,1,0
291,11,31,26,1,0,1,0
506,12,31,26,1,0,1,0
192,13,31,26,1,0,1,0
1036,14,31,26,1,0,1,0
113,15,31,26,1,0,1,0
68,16,31,26,1,0,1,0
119,17,31,26,1,0,1,0
41,18,31,26,1,0,1,0
0,19,31,26,1,0,1,0
999999,20,31,26,1,0,1,0
0,21,31,26,1,0,1,0
0,22,31,26,1,0,1,0
0,23,31,26,1,0,1,0
0,0,31,26,1,0,1,0
0,1,31,26,1,0,1,0
0,2,31,26,1,0,1,0
0,3,31,26,1,0,1,0
0,4,31,26,1,0,1,0
0,5,31,26,1,0,1,0
43,6,31,26,1,0,1,0
48,7,31,26,1,0,1,0
247,8,31,26,1,0,1,0
545,9,31,26,1,0,1,0
331,10,31,26,1,0,1,0
261,11,31,26,1,0,1,0
492,12,31,26,1,0,1,0
538,13,31,26,1,0,1,0
42,14,31,26,1,0,1,0
35,15,31,26,1,0,1,0
12,16,31,26,1,0,1,0
15,17,31,26,1,0,1,0
21,18,31,26,1,0,1,0
0,19,31,26,1,0,1,0
0,20,31,26,1,0,1,0
0,21,31,26,1,0,1,0
0,22,31,26,1,0,1,0
0,23,31,26,1,0,1,0
0,0,30,26,1,0,1,0
0,1,30,26,1,0,1,0
0,2,30,26,1,0,1,0
0,3,30,26,1,0,1,0
0,4,30,26,1,0,1,0
0,5,30,26,1,0,1,0
34,6,30,26,1,0,1,0
60,7,30,26,1,0,1,0
215,8,30,26,1,0,1,0
154,9,30,26,1,0,1,0
660,10,30,26,1,0,1,0
411,11,30,26,1,0,1,0
147,12,30,26,1,0,1,0
127,13,30,26,1,0,1,0
135,14,30,26,1,0,1,0
804,15,30,26,1,0,1,0
264,16,30,26,1,0,1,0
241,17,30,26,1,0,1,0
70,18,30,26,1,0,1,0
0,19,30,26,1,0,1,0
0,20,30,26,1,0,1,0
0,21,30,26,1,0,1,0
0,22,30,26,1,0,1,0
0,23,30,26,1,0,1,0
0,0,30,26,1,0,1,0
0,1,30,26,1,0,1,0
0,2,30,26,1,0,1,0
0,3,30,26,1,0,1,0
0,4,30,26,1,0,1,0
0,5,30,26,1,0,1,0
31,6,30,26,1,0,1,0
187,7,30,26,1,0,1,0
338,8,30,26,1,0,1,0
520,9,30,26,1,0,1,0
296,10,30,26,1,0,1,0
33,11,30,26,1,0,1,0
30,12,30,26,1,0,1,0
122,13,30,26,1,0,1,0
293,14,30,26,1,0,1,0
210,15,30,26,1,0,1,0
312,16,30,26,1,0,1,0
321,17,30,26,1,0,1,0
34,18,30,26,1,0,1,0
0,19,30,26,1,0,1,0
0,20,30,26,1,0,1,0
0,21,30,26,1,0,1,0
0,22,30,26,1,0,1,0
0,23,30,26,1,0,1,0
0,0,33,27,3,0,1,0
0,1,33,27,3,0,1,0
0,2,33,27,3,0,1,0
0,3,33,27,3,0,1,0
0,4,33,27,3,0,1,0
0,5,33,27,3,0,1,0
42,6,33,27,3,0,1,0
321,7,33,27,3,0,1,0
346,8,33,27,3,0,1,0
53,9,33,27,3,0,1,0
277,10,33,27,3,0,1,0
584,11,33,27,3,0,1,0
197,12,33,27,3,0,1,0
519,13,33,27,3,0,1,0
675,14,33,27,3,0,1,0
319,15,33,27,3,0,1,0
286,16,33,27,3,0,1,0
280,17,33,27,3,0,1,0
66,18,33,27,3,0,1,0
0,19,33,27,3,0,1,0
0,20,33,27,3,0,1,0
0,21,33,27,3,0,1,0
0,22,33,27,3,0,1,0
0,23,33,27,3,0,1,0
0,0,35,27,2,1,0,0
0,1,35,27,2,1,0,0
0,2,35,27,2,1,0,0
0,3,35,27,2,1,0,0
0,4,35,27,2,1,0,0
0,5,35,27,2,1,0,0
43,6,35,27,2,1,0,0
232,7,35,27,2,1,0,0
503,8,35,27,2,1,0,0
218,9,35,27,2,1,0,0
950,10,35,27,2,1,0,0
962,11,35,27,2,1,0,0
1056,12,35,27,2,1,0,0
994,13,35,27,2,1,0,0
914,14,35,27,2,1,0,0
757,15,35,27,2,1,0,0
309,16,35,27,2,1,0,0
215,17,35,27,2,1,0,0
67,18,35,27,2,1,0,0
0,19,35,27,2,1,0,0
0,20,35,27,2,1,0,0
0,21,35,27,2,1,0,0
0,22,35,27,2,1,0,0
0,23,35,27,2,1,0,0
0,0,35,27,3,0,1,0
0,1,35,27,3,0,1,0
0,2,35,27,3,0,1,0
0,3,35,27,3,0,1,0
0,4,35,27,3,0,1,0
0,5,35,27,3,0,1,0
37,6,35,27,3,0,1,0
163,7,35,27,3,0,1,0
176,8,35,27,3,0,1,0
667,9,35,27,3,0,1,0
619,10,35,27,3,0,1,0
295,11,35,27,3,0,1,0
720,12,35,27,3,0,1,0
394,13,35,27,3,0,1,0
740,14,35,27,3,0,1,0
712,15,35,27,3,0,1,0
321,16,35,27,3,0,1,0
119,17,35,27,3,0,1,0
33,18,35,27,3,0,1,0
0,19,35,27,3,0,1,0
0,20,35,27,3,0,1,0
0,21,35,27,3,0,1,0
0,22,35,27,3,0,1,0
0,23,35,27,3,0,1,0
0,0,32,27,1,0,1,0
0,1,32,27,1,0,1,0
0,2,32,27,1,0,1,0
0,3,32,27,1,0,1,0
0,4,32,27,1,0,1,0
0,5,32,27,1,0,1,0
36,6,32,27,1,0,1,0
103,7,32,27,1,0,1,0
282,8,32,27,1,0,1,0
435,9,32,27,1,0,1,0
265,10,32,27,1,0,1,0
426,11,32,27,1,0,1,0
477,12,32,27,1,0,1,0
928,13,32,27,1,0,1,0
361,14,32,27,1,0,1,0
422,15,32,27,1,0,1,0
290,16,32,27,1,0,1,0
61,17,32,27,1,0,1,0
34,18,32,27,1,0,1,0
0,19,32,27,1,0,1,0
0,20,32,27,1,0,1,0
0,21,32,27,1,0,1,0
0,22,32,27,1,0,1,0
0,23,32,27,1,0,1,0
0,0,34,27,2,0,1,0
0,1,34,27,2,0,1,0
0,2,34,27,2,0,1,0
0,3,34,27,2,0,1,0
0,4,34,27,2,0,1,0
0,5,34,27,2,0,1,0
45,6,34,27,2,0,1,0
98,7,34,27,2,0,1,0
145,8,34,27,2,0,1,0
743,9,34,27,2,0,1,0
341,10,34,27,2,0,1,0
428,11,34,27,2,0,1,0
1094,12,34,27,2,0,1,0
793,13,34,27,2,0,1,0
359,14,34,27,2,0,1,0
320,15,34,27,2,0,1,0
188,16,34,27,2,0,1,0
13,17,34,27,2,0,1,0
6,18,34,27,2,0,1,0
0,19,34,27,2,0,1,0
0,20,34,27,2,0,1,0
0,21,34,27,2,0,1,0
0,22,34,27,2,0,1,0
0,23,34,27,2,0,1,0
0,0,32,26,2,0,1,0
0,1,32,26,2,0,1,0
0,2,32,26,2,0,1,0
0,3,32,26,2,0,1,0
0,4,32,26,2,0,1,0
0,5,32,26,2,0,1,0
29,6,32,26,2,0,1,0
259,7,32,26,2,0,1,0
507,8,32,26,2,0,1,0
729,9,32,26,2,0,1,0
999999,10,32,26,2,0,1,0
510,11,32,26,2,0,1,0
306,12,32,26,2,0,1,0
208,13,32,26,2,0,1,0
408,14,32,26,2,0,1,0
122,15,32,26,2,0,1,0
220,16,32,26,2,0,1,0
131,17,32,26,2,0,1,0
41,18,32,26,2,0,1,0
999999,19,32,26,2,0,1,0
0,20,32,26,2,0,1,0
0,21,32,26,2,0,1,0
0,22,32,26,2,0,1,0
0,23,32,26,2,0,1,0
0,0,31,26,2,0,0,1
0,1,31,26,2,0,0,1
0,2,31,26,2,0,0,1
0,3,31,26,2,0,0,1
0,4,31,26,2,0,0,1
0,5,31,26,2,0,0,1
51,6,31,26,2,0,0,1
255,7,31,26,2,0,0,1
177,8,31,26,2,0,0,1
133,9,31,26,2,0,0,1
354,10,31,26,2,0,0,1
349,11,31,26,2,0,0,1
565,12,31,26,2,0,0,1
164,13,31,26,2,0,0,1
62,14,31,26,2,0,0,1
134,15,31,26,2,0,0,1
93,16,31,26,2,0,0,1
84,17,31,26,2,0,0,1
23,18,31,26,2,0,0,1
0,19,31,26,2,0,0,1
0,20,31,26,2,0,0,1
0,21,31,26,2,0,0,1
0,22,31,26,2,0,0,1
0,23,31,26,2,0,0,1
