TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,medium,other,sun
314,12,31,24,3,0,1,0,0,0,0,0
511,13,31,24,3,0,1,0,0,0,0,0
684,14,31,24,3,0,1,0,0,0,0,0
200,15,31,24,3,0,1,0,0,0,0,0
229,16,31,24,3,0,1,0,0,0,0,0
178,17,31,24,3,0,1,0,0,0,0,0
85,18,31,24,3,0,1,0,0,0,0,0
11,19,31,24,3,0,1,0,0,0,0,0
0,20,31,24,3,0,1,0,0,0,0,0
0,21,31,24,3,0,1,0,0,0,0,0
0,22,31,24,3,0,1,0,0,0,0,0
0,23,31,24,3,0,1,0,0,0,0,0
0,0,26,23,3,0,0,0,1,0,0,0
0,1,26,23,3,0,0,0,1,0,0,0
0,2,26,23,3,0,0,0,1,0,0,0
0,3,26,23,3,0,0,0,1,0,0,0
0,4,26,23,3,0,0,0,1,0,0,0
0,5,26,23,3,0,0,0,1,0,0,0
41,6,26,23,3,0,0,0,1,0,0,0
127,7,26,23,3,0,0,0,1,0,0,0
136,8,26,23,3,0,0,0,1,0,0,0
109,9,26,23,3,0,0,0,1,0,0,0
110,10,26,23,3,0,0,0,1,0,0,0
136,11,26,23,3,0,0,0,1,0,0,0
163,12,26,23,3,0,0,0,1,0,0,0
243,13,26,23,3,0,0,0,1,0,0,0
64,14,26,23,3,0,0,0,1,0,0,0
58,15,26,23,3,0,0,0,1,0,0,0
119,16,26,23,3,0,0,0,1,0,0,0
70,17,26,23,3,0,0,0,1,0,0,0
10,18,26,23,3,0,0,0,1,0,0,0
7,19,26,23,3,0,0,0,1,0,0,0
0,20,26,23,3,0,0,0,1,0,0,0
0,21,26,23,3,0,0,0,1,0,0,0
0,22,26,23,3,0,0,0,1,0,0,0
0,23,26,23,3,0,0,0,1,0,0,0
0,0,30,25,2,0,1,0,0,0,0,0
0,1,30,25,2,0,1,0,0,0,0,0
0,2,30,25,2,0,1,0,0,0,0,0
0,3,30,25,2,0,1,0,0,0,0,0
0,4,30,25,2,0,1,0,0,0,0,0
0,5,30,25,2,0,1,0,0,0,0,0
36,6,30,25,2,0,1,0,0,0,0,0
39,7,30,25,2,0,1,0,0,0,0,0
108,8,30,25,2,0,1,0,0,0,0,0
239,9,30,25,2,0,1,0,0,0,0,0
288,10,30,25,2,0,1,0,0,0,0,0
310,11,30,25,2,0,1,0,0,0,0,0
444,12,30,25,2,0,1,0,0,0,0,0
402,13,30,25,2,0,1,0,0,0,0,0
347,14,30,25,2,0,1,0,0,0,0,0
353,15,30,25,2,0,1,0,0,0,0,0
490,16,30,25,2,0,1,0,0,0,0,0
316,17,30,25,2,0,1,0,0,0,0,0
95,18,30,25,2,0,1,0,0,0,0,0
7,19,30,25,2,0,1,0,0,0,0,0
0,20,30,25,2,0,1,0,0,0,0,0
0,21,30,25,2,0,1,0,0,0,0,0
0,22,30,25,2,0,1,0,0,0,0,0
0,23,30,25,2,0,1,0,0,0,0,0
0,0,30,24,2,0,0,0,1,0,0,0
0,1,30,24,2,0,0,0,1,0,0,0
0,2,30,24,2,0,0,0,1,0,0,0
0,3,30,24,2,0,0,0,1,0,0,0
0,4,30,24,2,0,0,0,1,0,0,0
0,5,30,24,2,0,0,0,1,0,0,0
16,6,30,24,2,0,0,0,1,0,0,0
131,7,30,24,2,0,0,0,1,0,0,0
170,8,30,24,2,0,0,0,1,0,0,0
537,9,30,24,2,0,0,0,1,0,0,0
366,10,30,24,2,0,0,0,1,0,0,0
306,11,30,24,2,0,0,0,1,0,0,0
639,12,30,24,2,0,0,0,1,0,0,0
506,13,30,24,2,0,0,0,1,0,0,0
440,14,30,24,2,0,0,0,1,0,0,0
840,15,30,24,2,0,0,0,1,0,0,0
233,16,30,24,2,0,0,0,1,0,0,0
215,17,30,24,2,0,0,0,1,0,0,0
50,18,30,24,2,0,0,0,1,0,0,0
4,19,30,24,2,0,0,0,1,0,0,0
0,20,30,24,2,0,0,0,1,0,0,0
0,21,30,24,2,0,0,0,1,0,0,0
0,22,30,24,2,0,0,0,1,0,0,0
0,23,30,24,2,0,0,0,1,0,0,0
0,0,32,25,2,1,0,0,0,0,0,0
0,1,32,25,2,1,0,0,0,0,0,0
0,2,32,25,2,1,0,0,0,0,0,0
0,3,32,25,2,1,0,0,0,0,0,0
0,4,32,25,2,1,0,0,0,0,0,0
0,5,32,25,2,1,0,0,0,0,0,0
29,6,32,25,2,1,0,0,0,0,0,0
67,7,32,25,2,1,0,0,0,0,0,0
154,8,32,25,2,1,0,0,0,0,0,0
245,9,32,25,2,1,0,0,0,0,0,0
619,10,32,25,2,1,0,0,0,0,0,0
1023,11,32,25,2,1,0,0,0,0,0,0
529,12,32,25,2,1,0,0,0,0,0,0
1047,13,32,25,2,1,0,0,0,0,0,0
894,14,32,25,2,1,0,0,0,0,0,0
742,15,32,25,2,1,0,0,0,0,0,0
416,16,32,25,2,1,0,0,0,0,0,0
189,17,32,25,2,1,0,0,0,0,0,0
39,18,32,25,2,1,0,0,0,0,0,0
11,19,32,25,2,1,0,0,0,0,0,0
0,20,32,25,2,1,0,0,0,0,0,0
0,21,32,25,2,1,0,0,0,0,0,0
0,22,32,25,2,1,0,0,0,0,0,0
0,23,32,25,2,1,0,0,0,0,0,0
0,0,35,26,1,0,0,0,0,0,0,1
0,1,35,26,1,0,0,0,0,0,0,1
0,2,35,26,1,0,0,0,0,0,0,1
0,3,35,26,1,0,0,0,0,0,0,1
0,4,35,26,1,0,0,0,0,0,0,1
0,5,35,26,1,0,0,0,0,0,0,1
76,6,35,26,1,0,0,0,0,0,0,1
233,7,35,26,1,0,0,0,0,0,0,1
448,8,35,26,1,0,0,0,0,0,0,1
641,9,35,26,1,0,0,0,0,0,0,1
770,10,35,26,1,0,0,0,0,0,0,1
824,11,35,26,1,0,0,0,0,0,0,1
893,12,35,26,1,0,0,0,0,0,0,1
863,13,35,26,1,0,0,0,0,0,0,1
763,14,35,26,1,0,0,0,0,0,0,1
642,15,35,26,1,0,0,0,0,0,0,1
457,16,35,26,1,0,0,0,0,0,0,1
52,17,35,26,1,0,0,0,0,0,0,1
76,18,35,26,1,0,0,0,0,0,0,1
13,19,35,26,1,0,0,0,0,0,0,1
0,20,35,26,1,0,0,0,0,0,0,1
0,21,35,26,1,0,0,0,0,0,0,1
0,22,35,26,1,0,0,0,0,0,0,1
0,23,35,26,1,0,0,0,0,0,0,1
0,0,34,28,2,0,0,0,0,0,0,1
0,1,34,28,2,0,0,0,0,0,0,1
0,2,34,28,2,0,0,0,0,0,0,1
0,3,34,28,2,0,0,0,0,0,0,1
0,4,34,28,2,0,0,0,0,0,0,1
0,5,34,28,2,0,0,0,0,0,0,1
41,6,34,28,2,0,0,0,0,0,0,1
101,7,34,28,2,0,0,0,0,0,0,1
236,8,34,28,2,0,0,0,0,0,0,1
332,9,34,28,2,0,0,0,0,0,0,1
760,10,34,28,2,0,0,0,0,0,0,1
921,11,34,28,2,0,0,0,0,0,0,1
951,12,34,28,2,0,0,0,0,0,0,1
477,13,34,28,2,0,0,0,0,0,0,1
836,14,34,28,2,0,0,0,0,0,0,1
664,15,34,28,2,0,0,0,0,0,0,1
529,16,34,28,2,0,0,0,0,0,0,1
282,17,34,28,2,0,0,0,0,0,0,1
131,18,34,28,2,0,0,0,0,0,0,1
8,19,34,28,2,0,0,0,0,0,0,1
0,20,34,28,2,0,0,0,0,0,0,1
0,21,34,28,2,0,0,0,0,0,0,1
0,22,34,28,2,0,0,0,0,0,0,1
0,23,34,28,2,0,0,0,0,0,0,1
0,0,35,28,1,1,0,0,0,0,0,0
0,1,35,28,1,1,0,0,0,0,0,0
0,2,35,28,1,1,0,0,0,0,0,0
0,3,35,28,1,1,0,0,0,0,0,0
0,4,35,28,1,1,0,0,0,0,0,0
0,5,35,28,1,1,0,0,0,0,0,0
77,6,35,28,1,1,0,0,0,0,0,0
233,7,35,28,1,1,0,0,0,0,0,0
314,8,35,28,1,1,0,0,0,0,0,0
617,9,35,28,1,1,0,0,0,0,0,0
777,10,35,28,1,1,0,0,0,0,0,0
903,11,35,28,1,1,0,0,0,0,0,0
951,12,35,28,1,1,0,0,0,0,0,0
944,13,35,28,1,1,0,0,0,0,0,0
841,14,35,28,1,1,0,0,0,0,0,0
663,15,35,28,1,1,0,0,0,0,0,0
481,16,35,28,1,1,0,0,0,0,0,0
208,17,35,28,1,1,0,0,0,0,0,0
24,18,35,28,1,1,0,0,0,0,0,0
0,19,35,28,1,1,0,0,0,0,0,0
0,20,35,28,1,1,0,0,0,0,0,0
0,21,35,28,1,1,0,0,0,0,0,0
0,22,35,28,1,1,0,0,0,0,0,0
0,23,35,28,1,1,0,0,0,0,0,0
0,0,34,28,3,0,1,0,0,0,0,0
0,1,34,28,3,0,1,0,0,0,0,0
0,2,34,28,3,0,1,0,0,0,0,0
0,3,34,28,3,0,1,0,0,0,0,0
0,4,34,28,3,0,1,0,0,0,0,0
0,5,34,28,3,0,1,0,0,0,0,0
71,6,34,28,3,0,1,0,0,0,0,0
274,7,34,28,3,0,1,0,0,0,0,0
464,8,34,28,3,0,1,0,0,0,0,0
427,9,34,28,3,0,1,0,0,0,0,0
625,10,34,28,3,0,1,0,0,0,0,0
932,11,34,28,3,0,1,0,0,0,0,0
808,12,34,28,3,0,1,0,0,0,0,0
977,13,34,28,3,0,1,0,0,0,0,0
521,14,34,28,3,0,1,0,0,0,0,0
245,15,34,28,3,0,1,0,0,0,0,0
203,16,34,28,3,0,1,0,0,0,0,0
97,17,34,28,3,0,1,0,0,0,0,0
39,18,34,28,3,0,1,0,0,0,0,0
0,19,34,28,3,0,1,0,0,0,0,0
0,20,34,28,3,0,1,0,0,0,0,0
0,21,34,28,3,0,1,0,0,0,0,0
0,22,34,28,3,0,1,0,0,0,0,0
0,23,34,28,3,0,1,0,0,0,0,0
0,0,33,27,0,0,0,0,0,1,0,0
0,1,33,27,0,0,0,0,0,1,0,0
0,2,33,27,0,0,0,0,0,1,0,0
0,3,33,27,0,0,0,0,0,1,0,0
0,4,33,27,0,0,0,0,0,1,0,0
0,5,33,27,0,0,0,0,0,1,0,0
27,6,33,27,0,0,0,0,0,1,0,0
236,7,33,27,0,0,0,0,0,1,0,0
462,8,33,27,0,0,0,0,0,1,0,0
650,9,33,27,0,0,0,0,0,1,0,0
793,10,33,27,0,0,0,0,0,1,0,0
907,11,33,27,0,0,0,0,0,1,0,0
137,12,33,27,0,0,0,0,0,1,0,0
138,13,33,27,0,0,0,0,0,1,0,0
143,14,33,27,0,0,0,0,0,1,0,0
23,15,33,27,0,0,0,0,0,1,0,0
40,16,33,27,0,0,0,0,0,1,0,0
60,17,33,27,0,0,0,0,0,1,0,0
50,18,33,27,0,0,0,0,0,1,0,0
2,19,33,27,0,0,0,0,0,1,0,0
0,20,33,27,0,0,0,0,0,1,0,0
0,21,33,27,0,0,0,0,0,1,0,0
0,22,33,27,0,0,0,0,0,1,0,0
0,23,33,27,0,0,0,0,0,1,0,0
0,0,33,27,1,0,0,0,1,0,0,0
0,1,33,27,1,0,0,0,1,0,0,0
0,2,33,27,1,0,0,0,1,0,0,0
0,3,33,27,1,0,0,0,1,0,0,0
0,4,33,27,1,0,0,0,1,0,0,0
0,5,33,27,1,0,0,0,1,0,0,0
68,6,33,27,1,0,0,0,1,0,0,0
81,7,33,27,1,0,0,0,1,0,0,0
336,8,33,27,1,0,0,0,1,0,0,0
529,9,33,27,1,0,0,0,1,0,0,0
235,10,33,27,1,0,0,0,1,0,0,0
789,11,33,27,1,0,0,0,1,0,0,0
913,12,33,27,1,0,0,0,1,0,0,0
584,13,33,27,1,0,0,0,1,0,0,0
625,14,33,27,1,0,0,0,1,0,0,0
662,15,33,27,1,0,0,0,1,0,0,0
528,16,33,27,1,0,0,0,1,0,0,0
106,17,33,27,1,0,0,0,1,0,0,0
47,18,33,27,1,0,0,0,1,0,0,0
0,19,33,27,1,0,0,0,1,0,0,0
0,20,33,27,1,0,0,0,1,0,0,0
0,21,33,27,1,0,0,0,1,0,0,0
0,22,33,27,1,0,0,0,1,0,0,0
0,23,33,27,1,0,0,0,1,0,0,0
0,0,33,27,4,0,1,0,0,0,0,0
0,1,33,27,4,0,1,0,0,0,0,0
0,2,33,27,4,0,1,0,0,0,0,0
0,3,33,27,4,0,1,0,0,0,0,0
0,4,33,27,4,0,1,0,0,0,0,0
0,5,33,27,4,0,1,0,0,0,0,0
10,6,33,27,4,0,1,0,0,0,0,0
7,7,33,27,4,0,1,0,0,0,0,0
36,8,33,27,4,0,1,0,0,0,0,0
126,9,33,27,4,0,1,0,0,0,0,0
165,10,33,27,4,0,1,0,0,0,0,0
436,11,33,27,4,0,1,0,0,0,0,0
471,12,33,27,4,0,1,0,0,0,0,0
500,13,33,27,4,0,1,0,0,0,0,0
751,14,33,27,4,0,1,0,0,0,0,0
598,15,33,27,4,0,1,0,0,0,0,0
329,16,33,27,4,0,1,0,0,0,0,0
53,17,33,27,4,0,1,0,0,0,0,0
4,18,33,27,4,0,1,0,0,0,0,0
0,19,33,27,4,0,1,0,0,0,0,0
0,20,33,27,4,0,1,0,0,0,0,0
0,21,33,27,4,0,1,0,0,0,0,0
0,22,33,27,4,0,1,0,0,0,0,0
0,23,33,27,4,0,1,0,0,0,0,0
0,0,35,28,2,0,1,0,0,0,0,0
0,1,35,28,2,0,1,0,0,0,0,0
0,2,35,28,2,0,1,0,0,0,0,0
0,3,35,28,2,0,1,0,0,0,0,0
0,4,35,28,2,0,1,0,0,0,0,0
0,5,35,28,2,0,1,0,0,0,0,0
58,6,35,28,2,0,1,0,0,0,0,0
186,7,35,28,2,0,1,0,0,0,0,0
251,8,35,28,2,0,1,0,0,0,0,0
348,9,35,28,2,0,1,0,0,0,0,0
839,10,35,28,2,0,1,0,0,0,0,0
870,11,35,28,2,0,1,0,0,0,0,0
892,12,35,28,2,0,1,0,0,0,0,0
873,13,35,28,2,0,1,0,0,0,0,0
812,14,35,28,2,0,1,0,0,0,0,0
149,15,35,28,2,0,1,0,0,0,0,0
149,16,35,28,2,0,1,0,0,0,0,0
55,17,35,28,2,0,1,0,0,0,0,0
37,18,35,28,2,0,1,0,0,0,0,0
5,19,35,28,2,0,1,0,0,0,0,0
0,20,35,28,2,0,1,0,0,0,0,0
0,21,35,28,2,0,1,0,0,0,0,0
0,22,35,28,2,0,1,0,0,0,0,0
0,23,35,28,2,0,1,0,0,0,0,0
0,0,36,28,3,0,1,0,0,0,0,0
0,1,36,28,3,0,1,0,0,0,0,0
0,2,36,28,3,0,1,0,0,0,0,0
0,3,36,28,3,0,1,0,0,0,0,0
0,4,36,28,3,0,1,0,0,0,0,0
0,5,36,28,3,0,1,0,0,0,0,0
67,6,36,28,3,0,1,0,0,0,0,0
266,7,36,28,3,0,1,0,0,0,0,0
442,8,36,28,3,0,1,0,0,0,0,0
641,9,36,28,3,0,1,0,0,0,0,0
785,10,36,28,3,0,1,0,0,0,0,0
859,11,36,28,3,0,1,0,0,0,0,0
896,12,36,28,3,0,1,0,0,0,0,0
892,13,36,28,3,0,1,0,0,0,0,0
800,14,36,28,3,0,1,0,0,0,0,0
672,15,36,28,3,0,1,0,0,0,0,0
518,16,36,28,3,0,1,0,0,0,0,0
347,17,36,28,3,0,1,0,0,0,0,0
170,18,36,28,3,0,1,0,0,0,0,0
7,19,36,28,3,0,1,0,0,0,0,0
0,20,36,28,3,0,1,0,0,0,0,0
0,21,36,28,3,0,1,0,0,0,0,0
0,22,36,28,3,0,1,0,0,0,0,0
0,23,36,28,3,0,1,0,0,0,0,0
0,0,35,28,1,0,1,0,0,0,0,0
0,1,35,28,1,0,1,0,0,0,0,0
0,2,35,28,1,0,1,0,0,0,0,0
0,3,35,28,1,0,1,0,0,0,0,0
0,4,35,28,1,0,1,0,0,0,0,0
0,5,35,28,1,0,1,0,0,0,0,0
93,6,35,28,1,0,1,0,0,0,0,0
289,7,35,28,1,0,1,0,0,0,0,0
390,8,35,28,1,0,1,0,0,0,0,0
583,9,35,28,1,0,1,0,0,0,0,0
824,10,35,28,1,0,1,0,0,0,0,0
893,11,35,28,1,0,1,0,0,0,0,0
799,12,35,28,1,0,1,0,0,0,0,0
925,13,35,28,1,0,1,0,0,0,0,0
821,14,35,28,1,0,1,0,0,0,0,0
694,15,35,28,1,0,1,0,0,0,0,0
304,16,35,28,1,0,1,0,0,0,0,0
53,17,35,28,1,0,1,0,0,0,0,0
24,18,35,28,1,0,1,0,0,0,0,0
1,19,35,28,1,0,1,0,0,0,0,0
0,20,35,28,1,0,1,0,0,0,0,0
0,21,35,28,1,0,1,0,0,0,0,0
0,22,35,28,1,0,1,0,0,0,0,0
0,23,35,28,1,0,1,0,0,0,0,0
0,0,34,27,2,1,0,0,0,0,0,0
0,1,34,27,2,1,0,0,0,0,0,0
0,2,34,27,2,1,0,0,0,0,0,0
0,3,34,27,2,1,0,0,0,0,0,0
0,4,34,27,2,1,0,0,0,0,0,0
0,5,34,27,2,1,0,0,0,0,0,0
999999,6,34,27,2,1,0,0,0,0,0,0
999999,7,34,27,2,1,0,0,0,0,0,0
999999,8,34,27,2,1,0,0,0,0,0,0
493,9,34,27,2,1,0,0,0,0,0,0
732,10,34,27,2,1,0,0,0,0,0,0
894,11,34,27,2,1,0,0,0,0,0,0
925,12,34,27,2,1,0,0,0,0,0,0
892,13,34,27,2,1,0,0,0,0,0,0
823,14,34,27,2,1,0,0,0,0,0,0
688,15,34,27,2,1,0,0,0,0,0,0
498,16,34,27,2,1,0,0,0,0,0,0
361,17,34,27,2,1,0,0,0,0,0,0
164,18,34,27,2,1,0,0,0,0,0,0
3,19,34,27,2,1,0,0,0,0,0,0
0,20,34,27,2,1,0,0,0,0,0,0
0,21,34,27,2,1,0,0,0,0,0,0
0,22,34,27,2,1,0,0,0,0,0,0
0,23,34,27,2,1,0,0,0,0,0,0
