TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,sun
844,10,34,17,1,1,0,0,0
1072,11,34,17,1,1,0,0,0
1010,12,34,17,1,1,0,0,0
997,13,34,17,1,1,0,0,0
701,14,34,17,1,1,0,0,0
369,15,34,17,1,1,0,0,0
283,16,34,17,1,1,0,0,0
170,17,34,17,1,1,0,0,0
22,18,34,17,1,1,0,0,0
0,19,34,17,1,1,0,0,0
0,20,34,17,1,1,0,0,0
0,21,34,17,1,1,0,0,0
0,22,34,17,1,1,0,0,0
0,23,34,17,1,1,0,0,0
0,0,30,18,2,0,1,0,0
0,1,30,18,2,0,1,0,0
0,2,30,18,2,0,1,0,0
0,3,30,18,2,0,1,0,0
0,4,30,18,2,0,1,0,0
1,5,30,18,2,0,1,0,0
84,6,30,18,2,0,1,0,0
265,7,30,18,2,0,1,0,0
399,8,30,18,2,0,1,0,0
466,9,30,18,2,0,1,0,0
419,10,30,18,2,0,1,0,0
719,11,30,18,2,0,1,0,0
530,12,30,18,2,0,1,0,0
600,13,30,18,2,0,1,0,0
873,14,30,18,2,0,1,0,0
381,15,30,18,2,0,1,0,0
751,16,30,18,2,0,1,0,0
424,17,30,18,2,0,1,0,0
167,18,30,18,2,0,1,0,0
8,19,30,18,2,0,1,0,0
0,20,30,18,2,0,1,0,0
0,21,30,18,2,0,1,0,0
0,22,30,18,2,0,1,0,0
0,23,30,18,2,0,1,0,0
0,0,35,20,3,0,0,0,1
0,1,35,20,3,0,0,0,1
0,2,35,20,3,0,0,0,1
0,3,35,20,3,0,0,0,1
0,4,35,20,3,0,0,0,1
2,5,35,20,3,0,0,0,1
123,6,35,20,3,0,0,0,1
333,7,35,20,3,0,0,0,1
539,8,35,20,3,0,0,0,1
724,9,35,20,3,0,0,0,1
871,10,35,20,3,0,0,0,1
963,11,35,20,3,0,0,0,1
996,12,35,20,3,0,0,0,1
977,13,35,20,3,0,0,0,1
889,14,35,20,3,0,0,0,1
752,15,35,20,3,0,0,0,1
573,16,35,20,3,0,0,0,1
364,17,35,20,3,0,0,0,1
107,18,35,20,3,0,0,0,1
11,19,35,20,3,0,0,0,1
0,20,35,20,3,0,0,0,1
0,21,35,20,3,0,0,0,1
0,22,35,20,3,0,0,0,1
0,23,35,20,3,0,0,0,1
0,0,36,21,2,0,0,0,1
0,1,36,21,2,0,0,0,1
0,2,36,21,2,0,0,0,1
0,3,36,21,2,0,0,0,1
0,4,36,21,2,0,0,0,1
2,5,36,21,2,0,0,0,1
112,6,36,21,2,0,0,0,1
323,7,36,21,2,0,0,0,1
528,8,36,21,2,0,0,0,1
717,9,36,21,2,0,0,0,1
857,10,36,21,2,0,0,0,1
954,11,36,21,2,0,0,0,1
974,12,36,21,2,0,0,0,1
937,13,36,21,2,0,0,0,1
856,14,36,21,2,0,0,0,1
716,15,36,21,2,0,0,0,1
556,16,36,21,2,0,0,0,1
362,17,36,21,2,0,0,0,1
41,18,36,21,2,0,0,0,1
0,19,36,21,2,0,0,0,1
0,20,36,21,2,0,0,0,1
0,21,36,21,2,0,0,0,1
0,22,36,21,2,0,0,0,1
0,23,36,21,2,0,0,0,1
0,0,33,21,2,0,0,0,1
0,1,33,21,2,0,0,0,1
0,2,33,21,2,0,0,0,1
0,3,33,21,2,0,0,0,1
0,4,33,21,2,0,0,0,1
7,5,33,21,2,0,0,0,1
103,6,33,21,2,0,0,0,1
208,7,33,21,2,0,0,0,1
230,8,33,21,2,0,0,0,1
716,9,33,21,2,0,0,0,1
807,10,33,21,2,0,0,0,1
883,11,33,21,2,0,0,0,1
939,12,33,21,2,0,0,0,1
890,13,33,21,2,0,0,0,1
825,14,33,21,2,0,0,0,1
691,15,33,21,2,0,0,0,1
523,16,33,21,2,0,0,0,1
318,17,33,21,2,0,0,0,1
117,18,33,21,2,0,0,0,1
0,19,33,21,2,0,0,0,1
0,20,33,21,2,0,0,0,1
0,21,33,21,2,0,0,0,1
0,22,33,21,2,0,0,0,1
0,23,33,21,2,0,0,0,1
0,0,29,19,2,0,1,0,0
0,1,29,19,2,0,1,0,0
0,2,29,19,2,0,1,0,0
0,3,29,19,2,0,1,0,0
0,4,29,19,2,0,1,0,0
2,5,29,19,2,0,1,0,0
61,6,29,19,2,0,1,0,0
94,7,29,19,2,0,1,0,0
155,8,29,19,2,0,1,0,0
139,9,29,19,2,0,1,0,0
279,10,29,19,2,0,1,0,0
316,11,29,19,2,0,1,0,0
523,12,29,19,2,0,1,0,0
284,13,29,19,2,0,1,0,0
292,14,29,19,2,0,1,0,0
39,15,29,19,2,0,1,0,0
75,16,29,19,2,0,1,0,0
15,17,29,19,2,0,1,0,0
0,18,29,19,2,0,1,0,0
0,19,29,19,2,0,1,0,0
0,20,29,19,2,0,1,0,0
0,21,29,19,2,0,1,0,0
0,22,29,19,2,0,1,0,0
0,23,29,19,2,0,1,0,0
0,0,31,18,1,1,0,0,0
0,1,31,18,1,1,0,0,0
0,2,31,18,1,1,0,0,0
0,3,31,18,1,1,0,0,0
0,4,31,18,1,1,0,0,0
0,5,31,18,1,1,0,0,0
29,6,31,18,1,1,0,0,0
314,7,31,18,1,1,0,0,0
519,8,31,18,1,1,0,0,0
695,9,31,18,1,1,0,0,0
826,10,31,18,1,1,0,0,0
920,11,31,18,1,1,0,0,0
953,12,31,18,1,1,0,0,0
937,13,31,18,1,1,0,0,0
850,14,31,18,1,1,0,0,0
733,15,31,18,1,1,0,0,0
476,16,31,18,1,1,0,0,0
176,17,31,18,1,1,0,0,0
132,18,31,18,1,1,0,0,0
2,19,31,18,1,1,0,0,0
0,20,31,18,1,1,0,0,0
0,21,31,18,1,1,0,0,0
0,22,31,18,1,1,0,0,0
0,23,31,18,1,1,0,0,0
0,0,34,16,1,0,0,0,1
0,1,34,16,1,0,0,0,1
0,2,34,16,1,0,0,0,1
0,3,34,16,1,0,0,0,1
0,4,34,16,1,0,0,0,1
0,5,34,16,1,0,0,0,1
107,6,34,16,1,0,0,0,1
308,7,34,16,1,0,0,0,1
517,8,34,16,1,0,0,0,1
349,9,34,16,1,0,0,0,1
840,10,34,16,1,0,0,0,1
938,11,34,16,1,0,0,0,1
944,12,34,16,1,0,0,0,1
941,13,34,16,1,0,0,0,1
828,14,34,16,1,0,0,0,1
729,15,34,16,1,0,0,0,1
527,16,34,16,1,0,0,0,1
308,17,34,16,1,0,0,0,1
123,18,34,16,1,0,0,0,1
0,19,34,16,1,0,0,0,1
0,20,34,16,1,0,0,0,1
0,21,34,16,1,0,0,0,1
0,22,34,16,1,0,0,0,1
0,23,34,16,1,0,0,0,1
0,0,33,18,1,0,0,0,1
0,1,33,18,1,0,0,0,1
0,2,33,18,1,0,0,0,1
0,3,33,18,1,0,0,0,1
0,4,33,18,1,0,0,0,1
0,5,33,18,1,0,0,0,1
94,6,33,18,1,0,0,0,1
299,7,33,18,1,0,0,0,1
507,8,33,18,1,0,0,0,1
696,9,33,18,1,0,0,0,1
844,10,33,18,1,0,0,0,1
929,11,33,18,1,0,0,0,1
967,12,33,18,1,0,0,0,1
940,13,33,18,1,0,0,0,1
851,14,33,18,1,0,0,0,1
724,15,33,18,1,0,0,0,1
542,16,33,18,1,0,0,0,1
340,17,33,18,1,0,0,0,1
143,18,33,18,1,0,0,0,1
0,19,33,18,1,0,0,0,1
0,20,33,18,1,0,0,0,1
0,21,33,18,1,0,0,0,1
0,22,33,18,1,0,0,0,1
0,23,33,18,1,0,0,0,1
