TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,sun
32,6,25,16,3,0,1,0,0
34,7,25,16,3,0,1,0,0
68,8,25,16,3,0,1,0,0
286,9,25,16,3,0,1,0,0
351,10,25,16,3,0,1,0,0
334,11,25,16,3,0,1,0,0
445,12,25,16,3,0,1,0,0
584,13,25,16,3,0,1,0,0
589,14,25,16,3,0,1,0,0
350,15,25,16,3,0,1,0,0
174,16,25,16,3,0,1,0,0
44,17,25,16,3,0,1,0,0
14,18,25,16,3,0,1,0,0
0,19,25,16,3,0,1,0,0
0,20,25,16,3,0,1,0,0
0,21,25,16,3,0,1,0,0
0,22,25,16,3,0,1,0,0
0,23,25,16,3,0,1,0,0
0,0,26,15,3,0,1,0,0
0,1,26,15,3,0,1,0,0
0,2,26,15,3,0,1,0,0
0,3,26,15,3,0,1,0,0
0,4,26,15,3,0,1,0,0
0,5,26,15,3,0,1,0,0
108,6,26,15,3,0,1,0,0
342,7,26,15,3,0,1,0,0
521,8,26,15,3,0,1,0,0
730,9,26,15,3,0,1,0,0
916,10,26,15,3,0,1,0,0
454,11,26,15,3,0,1,0,0
74,12,26,15,3,0,1,0,0
211,13,26,15,3,0,1,0,0
1092,14,26,15,3,0,1,0,0
1046,15,26,15,3,0,1,0,0
656,16,26,15,3,0,1,0,0
393,17,26,15,3,0,1,0,0
43,18,26,15,3,0,1,0,0
0,19,26,15,3,0,1,0,0
0,20,26,15,3,0,1,0,0
0,21,26,15,3,0,1,0,0
0,22,26,15,3,0,1,0,0
0,23,26,15,3,0,1,0,0
0,0,30,17,4,0,0,0,1
0,1,30,17,4,0,0,0,1
0,2,30,17,4,0,0,0,1
0,3,30,17,4,0,0,0,1
0,4,30,17,4,0,0,0,1
1,5,30,17,4,0,0,0,1
138,6,30,17,4,0,0,0,1
336,7,30,17,4,0,0,0,1
538,8,30,17,4,0,0,0,1
719,9,30,17,4,0,0,0,1
872,10,30,17,4,0,0,0,1
971,11,30,17,4,0,0,0,1
1006,12,30,17,4,0,0,0,1
989,13,30,17,4,0,0,0,1
913,14,30,17,4,0,0,0,1
821,15,30,17,4,0,0,0,1
90,16,30,17,4,0,0,0,1
159,17,30,17,4,0,0,0,1
120,18,30,17,4,0,0,0,1
21,19,30,17,4,0,0,0,1
0,20,30,17,4,0,0,0,1
0,21,30,17,4,0,0,0,1
0,22,30,17,4,0,0,0,1
0,23,30,17,4,0,0,0,1
0,0,30,17,2,0,1,0,0
0,1,30,17,2,0,1,0,0
0,2,30,17,2,0,1,0,0
0,3,30,17,2,0,1,0,0
0,4,30,17,2,0,1,0,0
0,5,30,17,2,0,1,0,0
141,6,30,17,2,0,1,0,0
330,7,30,17,2,0,1,0,0
350,8,30,17,2,0,1,0,0
809,9,30,17,2,0,1,0,0
557,10,30,17,2,0,1,0,0
569,11,30,17,2,0,1,0,0
601,12,30,17,2,0,1,0,0
1005,13,30,17,2,0,1,0,0
343,14,30,17,2,0,1,0,0
422,15,30,17,2,0,1,0,0
132,16,30,17,2,0,1,0,0
142,17,30,17,2,0,1,0,0
19,18,30,17,2,0,1,0,0
0,19,30,17,2,0,1,0,0
0,20,30,17,2,0,1,0,0
0,21,30,17,2,0,1,0,0
0,22,30,17,2,0,1,0,0
0,23,30,17,2,0,1,0,0
0,0,21,15,2,0,0,1,0
0,1,21,15,2,0,0,1,0
0,2,21,15,2,0,0,1,0
0,3,21,15,2,0,0,1,0
0,4,21,15,2,0,0,1,0
0,5,21,15,2,0,0,1,0
0,6,21,15,2,0,0,1,0
33,7,21,15,2,0,0,1,0
58,8,21,15,2,0,0,1,0
64,9,21,15,2,0,0,1,0
203,10,21,15,2,0,0,1,0
336,11,21,15,2,0,0,1,0
259,12,21,15,2,0,0,1,0
331,13,21,15,2,0,0,1,0
1008,14,21,15,2,0,0,1,0
740,15,21,15,2,0,0,1,0
530,16,21,15,2,0,0,1,0
166,17,21,15,2,0,0,1,0
171,18,21,15,2,0,0,1,0
1,19,21,15,2,0,0,1,0
0,20,21,15,2,0,0,1,0
0,21,21,15,2,0,0,1,0
0,22,21,15,2,0,0,1,0
0,23,21,15,2,0,0,1,0
0,0,27,16,2,1,0,0,0
0,1,27,16,2,1,0,0,0
0,2,27,16,2,1,0,0,0
0,3,27,16,2,1,0,0,0
0,4,27,16,2,1,0,0,0
4,5,27,16,2,1,0,0,0
124,6,27,16,2,1,0,0,0
321,7,27,16,2,1,0,0,0
520,8,27,16,2,1,0,0,0
701,9,27,16,2,1,0,0,0
894,10,27,16,2,1,0,0,0
973,11,27,16,2,1,0,0,0
986,12,27,16,2,1,0,0,0
314,13,27,16,2,1,0,0,0
978,14,27,16,2,1,0,0,0
215,15,27,16,2,1,0,0,0
16,16,27,16,2,1,0,0,0
0,17,27,16,2,1,0,0,0
280,18,27,16,2,1,0,0,0
0,19,27,16,2,1,0,0,0
0,20,27,16,2,1,0,0,0
0,21,27,16,2,1,0,0,0
0,22,27,16,2,1,0,0,0
0,23,27,16,2,1,0,0,0
0,0,25,16,1,1,0,0,0
0,1,25,16,1,1,0,0,0
0,2,25,16,1,1,0,0,0
0,3,25,16,1,1,0,0,0
0,4,25,16,1,1,0,0,0
0,5,25,16,1,1,0,0,0
35,6,25,16,1,1,0,0,0
213,7,25,16,1,1,0,0,0
380,8,25,16,1,1,0,0,0
234,9,25,16,1,1,0,0,0
411,10,25,16,1,1,0,0,0
290,11,25,16,1,1,0,0,0
225,12,25,16,1,1,0,0,0
246,13,25,16,1,1,0,0,0
942,14,25,16,1,1,0,0,0
696,15,25,16,1,1,0,0,0
282,16,25,16,1,1,0,0,0
124,17,25,16,1,1,0,0,0
150,18,25,16,1,1,0,0,0
0,19,25,16,1,1,0,0,0
0,20,25,16,1,1,0,0,0
0,21,25,16,1,1,0,0,0
0,22,25,16,1,1,0,0,0
0,23,25,16,1,1,0,0,0
0,0,29,17,1,0,0,0,1
0,1,29,17,1,0,0,0,1
0,2,29,17,1,0,0,0,1
0,3,29,17,1,0,0,0,1
0,4,29,17,1,0,0,0,1
0,5,29,17,1,0,0,0,1
129,6,29,17,1,0,0,0,1
321,7,29,17,1,0,0,0,1
519,8,29,17,1,0,0,0,1
681,9,29,17,1,0,0,0,1
832,10,29,17,1,0,0,0,1
932,11,29,17,1,0,0,0,1
981,12,29,17,1,0,0,0,1
952,13,29,17,1,0,0,0,1
879,14,29,17,1,0,0,0,1
743,15,29,17,1,0,0,0,1
555,16,29,17,1,0,0,0,1
347,17,29,17,1,0,0,0,1
135,18,29,17,1,0,0,0,1
1,19,29,17,1,0,0,0,1
0,20,29,17,1,0,0,0,1
0,21,29,17,1,0,0,0,1
0,22,29,17,1,0,0,0,1
0,23,29,17,1,0,0,0,1
0,0,29,16,3,0,0,0,1
0,1,29,16,3,0,0,0,1
0,2,29,16,3,0,0,0,1
0,3,29,16,3,0,0,0,1
0,4,29,16,3,0,0,0,1
0,5,29,16,3,0,0,0,1
106,6,29,16,3,0,0,0,1
295,7,29,16,3,0,0,0,1
513,8,29,16,3,0,0,0,1
697,9,29,16,3,0,0,0,1
841,10,29,16,3,0,0,0,1
943,11,29,16,3,0,0,0,1
983,12,29,16,3,0,0,0,1
962,13,29,16,3,0,0,0,1
887,14,29,16,3,0,0,0,1
751,15,29,16,3,0,0,0,1
574,16,29,16,3,0,0,0,1
373,17,29,16,3,0,0,0,1
7,18,29,16,3,0,0,0,1
0,19,29,16,3,0,0,0,1
0,20,29,16,3,0,0,0,1
0,21,29,16,3,0,0,0,1
0,22,29,16,3,0,0,0,1
0,23,29,16,3,0,0,0,1
0,0,29,16,5,1,0,0,0
0,1,29,16,5,1,0,0,0
0,2,29,16,5,1,0,0,0
0,3,29,16,5,1,0,0,0
0,4,29,16,5,1,0,0,0
0,5,29,16,5,1,0,0,0
113,6,29,16,5,1,0,0,0
319,7,29,16,5,1,0,0,0
528,8,29,16,5,1,0,0,0
715,9,29,16,5,1,0,0,0
860,10,29,16,5,1,0,0,0
955,11,29,16,5,1,0,0,0
997,12,29,16,5,1,0,0,0
968,13,29,16,5,1,0,0,0
267,14,29,16,5,1,0,0,0
515,15,29,16,5,1,0,0,0
428,16,29,16,5,1,0,0,0
225,17,29,16,5,1,0,0,0
198,18,29,16,5,1,0,0,0
0,19,29,16,5,1,0,0,0
0,20,29,16,5,1,0,0,0
0,21,29,16,5,1,0,0,0
0,22,29,16,5,1,0,0,0
0,23,29,16,5,1,0,0,0
0,0,28,15,1,0,0,0,1
0,1,28,15,1,0,0,0,1
0,2,28,15,1,0,0,0,1
0,3,28,15,1,0,0,0,1
0,4,28,15,1,0,0,0,1
0,5,28,15,1,0,0,0,1
95,6,28,15,1,0,0,0,1
319,7,28,15,1,0,0,0,1
537,8,28,15,1,0,0,0,1
713,9,28,15,1,0,0,0,1
866,10,28,15,1,0,0,0,1
974,11,28,15,1,0,0,0,1
999,12,28,15,1,0,0,0,1
993,13,28,15,1,0,0,0,1
863,14,28,15,1,0,0,0,1
849,15,28,15,1,0,0,0,1
704,16,28,15,1,0,0,0,1
239,17,28,15,1,0,0,0,1
245,18,28,15,1,0,0,0,1
13,19,28,15,1,0,0,0,1
1,20,28,15,1,0,0,0,1
0,21,28,15,1,0,0,0,1
0,22,28,15,1,0,0,0,1
0,23,28,15,1,0,0,0,1
0,0,30,15,1,0,0,0,1
0,1,30,15,1,0,0,0,1
0,2,30,15,1,0,0,0,1
0,3,30,15,1,0,0,0,1
0,4,30,15,1,0,0,0,1
132,5,30,15,1,0,0,0,1
124,6,30,15,1,0,0,0,1
332,7,30,15,1,0,0,0,1
557,8,30,15,1,0,0,0,1
744,9,30,15,1,0,0,0,1
900,10,30,15,1,0,0,0,1
966,11,30,15,1,0,0,0,1
1017,12,30,15,1,0,0,0,1
987,13,30,15,1,0,0,0,1
950,14,30,15,1,0,0,0,1
810,15,30,15,1,0,0,0,1
639,16,30,15,1,0,0,0,1
424,17,30,15,1,0,0,0,1
168,18,30,15,1,0,0,0,1
4,19,30,15,1,0,0,0,1
0,20,30,15,1,0,0,0,1
0,21,30,15,1,0,0,0,1
0,22,30,15,1,0,0,0,1
0,23,30,15,1,0,0,0,1
0,0,29,14,0,0,0,0,1
0,1,29,14,0,0,0,0,1
0,2,29,14,0,0,0,0,1
0,3,29,14,0,0,0,0,1
0,4,29,14,0,0,0,0,1
108,5,29,14,0,0,0,0,1
72,6,29,14,0,0,0,0,1
194,7,29,14,0,0,0,0,1
685,8,29,14,0,0,0,0,1
977,9,29,14,0,0,0,0,1
1182,10,29,14,0,0,0,0,1
1343,11,29,14,0,0,0,0,1
882,12,29,14,0,0,0,0,1
1380,13,29,14,0,0,0,0,1
1206,14,29,14,0,0,0,0,1
1104,15,29,14,0,0,0,0,1
895,16,29,14,0,0,0,0,1
667,17,29,14,0,0,0,0,1
55,18,29,14,0,0,0,0,1
28,19,29,14,0,0,0,0,1
119,20,29,14,0,0,0,0,1
0,21,29,14,0,0,0,0,1
0,22,29,14,0,0,0,0,1
0,23,29,14,0,0,0,0,1
0,0,30,14,2,0,0,0,1
0,1,30,14,2,0,0,0,1
0,2,30,14,2,0,0,0,1
0,3,30,14,2,0,0,0,1
0,4,30,14,2,0,0,0,1
18,5,30,14,2,0,0,0,1
84,6,30,14,2,0,0,0,1
256,7,30,14,2,0,0,0,1
733,8,30,14,2,0,0,0,1
1122,9,30,14,2,0,0,0,1
883,10,30,14,2,0,0,0,1
844,11,30,14,2,0,0,0,1
878,12,30,14,2,0,0,0,1
1333,13,30,14,2,0,0,0,1
1277,14,30,14,2,0,0,0,1
1266,15,30,14,2,0,0,0,1
940,16,30,14,2,0,0,0,1
252,17,30,14,2,0,0,0,1
65,18,30,14,2,0,0,0,1
12,19,30,14,2,0,0,0,1
145,20,30,14,2,0,0,0,1
0,21,30,14,2,0,0,0,1
0,22,30,14,2,0,0,0,1
0,23,30,14,2,0,0,0,1
0,0,30,15,3,0,0,0,1
0,1,30,15,3,0,0,0,1
0,2,30,15,3,0,0,0,1
0,3,30,15,3,0,0,0,1
0,4,30,15,3,0,0,0,1
123,5,30,15,3,0,0,0,1
88,6,30,15,3,0,0,0,1
268,7,30,15,3,0,0,0,1
713,8,30,15,3,0,0,0,1
1108,9,30,15,3,0,0,0,1
1279,10,30,15,3,0,0,0,1
1344,11,30,15,3,0,0,0,1
976,12,30,15,3,0,0,0,1
888,13,30,15,3,0,0,0,1
1271,14,30,15,3,0,0,0,1
1159,15,30,15,3,0,0,0,1
956,16,30,15,3,0,0,0,1
321,17,30,15,3,0,0,0,1
98,18,30,15,3,0,0,0,1
255,19,30,15,3,0,0,0,1
151,20,30,15,3,0,0,0,1
0,21,30,15,3,0,0,0,1
0,22,30,15,3,0,0,0,1
0,23,30,15,3,0,0,0,1
