TRI,hour,maxT,minT,windSpeed,cloudy,dark,light,medium,other,sun
334,10,27,22,3,0,0,0,0,0,1
394,11,27,22,3,0,0,0,0,0,1
1018,12,27,22,3,0,0,0,0,0,1
964,13,27,22,3,0,0,0,0,0,1
904,14,27,22,3,0,0,0,0,0,1
758,15,27,22,3,0,0,0,0,0,1
486,16,27,22,3,0,0,0,0,0,1
393,17,27,22,3,0,0,0,0,0,1
150,18,27,22,3,0,0,0,0,0,1
0,19,27,22,3,0,0,0,0,0,1
0,20,27,22,3,0,0,0,0,0,1
0,21,27,22,3,0,0,0,0,0,1
0,22,27,22,3,0,0,0,0,0,1
0,23,27,22,3,0,0,0,0,0,1
0,0,28,23,2,0,0,0,0,0,1
0,1,28,23,2,0,0,0,0,0,1
0,2,28,23,2,0,0,0,0,0,1
0,3,28,23,2,0,0,0,0,0,1
0,4,28,23,2,0,0,0,0,0,1
0,5,28,23,2,0,0,0,0,0,1
80,6,28,23,2,0,0,0,0,0,1
219,7,28,23,2,0,0,0,0,0,1
282,8,28,23,2,0,0,0,0,0,1
512,9,28,23,2,0,0,0,0,0,1
506,10,28,23,2,0,0,0,0,0,1
1033,11,28,23,2,0,0,0,0,0,1
1058,12,28,23,2,0,0,0,0,0,1
1018,13,28,23,2,0,0,0,0,0,1
938,14,28,23,2,0,0,0,0,0,1
779,15,28,23,2,0,0,0,0,0,1
599,16,28,23,2,0,0,0,0,0,1
345,17,28,23,2,0,0,0,0,0,1
157,18,28,23,2,0,0,0,0,0,1
0,19,28,23,2,0,0,0,0,0,1
0,20,28,23,2,0,0,0,0,0,1
0,21,28,23,2,0,0,0,0,0,1
0,22,28,23,2,0,0,0,0,0,1
0,23,28,23,2,0,0,0,0,0,1
0,0,31,24,2,0,0,0,0,0,1
0,1,31,24,2,0,0,0,0,0,1
0,2,31,24,2,0,0,0,0,0,1
0,3,31,24,2,0,0,0,0,0,1
0,4,31,24,2,0,0,0,0,0,1
0,5,31,24,2,0,0,0,0,0,1
100,6,31,24,2,0,0,0,0,0,1
303,7,31,24,2,0,0,0,0,0,1
448,8,31,24,2,0,0,0,0,0,1
716,9,31,24,2,0,0,0,0,0,1
871,10,31,24,2,0,0,0,0,0,1
986,11,31,24,2,0,0,0,0,0,1
1017,12,31,24,2,0,0,0,0,0,1
981,13,31,24,2,0,0,0,0,0,1
951,14,31,24,2,0,0,0,0,0,1
251,15,31,24,2,0,0,0,0,0,1
612,16,31,24,2,0,0,0,0,0,1
356,17,31,24,2,0,0,0,0,0,1
106,18,31,24,2,0,0,0,0,0,1
0,19,31,24,2,0,0,0,0,0,1
0,20,31,24,2,0,0,0,0,0,1
0,21,31,24,2,0,0,0,0,0,1
0,22,31,24,2,0,0,0,0,0,1
0,23,31,24,2,0,0,0,0,0,1
0,0,34,24,2,0,0,0,0,0,1
0,1,34,24,2,0,0,0,0,0,1
0,2,34,24,2,0,0,0,0,0,1
0,3,34,24,2,0,0,0,0,0,1
0,4,34,24,2,0,0,0,0,0,1
0,5,34,24,2,0,0,0,0,0,1
32,6,34,24,2,0,0,0,0,0,1
231,7,34,24,2,0,0,0,0,0,1
517,8,34,24,2,0,0,0,0,0,1
601,9,34,24,2,0,0,0,0,0,1
836,10,34,24,2,0,0,0,0,0,1
933,11,34,24,2,0,0,0,0,0,1
1003,12,34,24,2,0,0,0,0,0,1
989,13,34,24,2,0,0,0,0,0,1
938,14,34,24,2,0,0,0,0,0,1
759,15,34,24,2,0,0,0,0,0,1
544,16,34,24,2,0,0,0,0,0,1
336,17,34,24,2,0,0,0,0,0,1
124,18,34,24,2,0,0,0,0,0,1
0,19,34,24,2,0,0,0,0,0,1
0,20,34,24,2,0,0,0,0,0,1
0,21,34,24,2,0,0,0,0,0,1
0,22,34,24,2,0,0,0,0,0,1
0,23,34,24,2,0,0,0,0,0,1
0,0,33,25,3,0,0,0,0,0,1
0,1,33,25,3,0,0,0,0,0,1
0,2,33,25,3,0,0,0,0,0,1
0,3,33,25,3,0,0,0,0,0,1
0,4,33,25,3,0,0,0,0,0,1
0,5,33,25,3,0,0,0,0,0,1
96,6,33,25,3,0,0,0,0,0,1
286,7,33,25,3,0,0,0,0,0,1
493,8,33,25,3,0,0,0,0,0,1
714,9,33,25,3,0,0,0,0,0,1
876,10,33,25,3,0,0,0,0,0,1
748,11,33,25,3,0,0,0,0,0,1
1101,12,33,25,3,0,0,0,0,0,1
886,13,33,25,3,0,0,0,0,0,1
216,14,33,25,3,0,0,0,0,0,1
775,15,33,25,3,0,0,0,0,0,1
332,16,33,25,3,0,0,0,0,0,1
92,17,33,25,3,0,0,0,0,0,1
36,18,33,25,3,0,0,0,0,0,1
0,19,33,25,3,0,0,0,0,0,1
0,20,33,25,3,0,0,0,0,0,1
0,21,33,25,3,0,0,0,0,0,1
0,22,33,25,3,0,0,0,0,0,1
0,23,33,25,3,0,0,0,0,0,1
0,0,26,24,2,0,1,0,0,0,0
0,1,26,24,2,0,1,0,0,0,0
0,2,26,24,2,0,1,0,0,0,0
0,3,26,24,2,0,1,0,0,0,0
0,4,26,24,2,0,1,0,0,0,0
0,5,26,24,2,0,1,0,0,0,0
18,6,26,24,2,0,1,0,0,0,0
32,7,26,24,2,0,1,0,0,0,0
72,8,26,24,2,0,1,0,0,0,0
96,9,26,24,2,0,1,0,0,0,0
107,10,26,24,2,0,1,0,0,0,0
250,11,26,24,2,0,1,0,0,0,0
374,12,26,24,2,0,1,0,0,0,0
198,13,26,24,2,0,1,0,0,0,0
376,14,26,24,2,0,1,0,0,0,0
164,15,26,24,2,0,1,0,0,0,0
229,16,26,24,2,0,1,0,0,0,0
2,17,26,24,2,0,1,0,0,0,0
16,18,26,24,2,0,1,0,0,0,0
0,19,26,24,2,0,1,0,0,0,0
0,20,26,24,2,0,1,0,0,0,0
0,21,26,24,2,0,1,0,0,0,0
0,22,26,24,2,0,1,0,0,0,0
0,23,26,24,2,0,1,0,0,0,0
0,0,31,25,3,0,0,0,0,0,1
0,1,31,25,3,0,0,0,0,0,1
0,2,31,25,3,0,0,0,0,0,1
0,3,31,25,3,0,0,0,0,0,1
0,4,31,25,3,0,0,0,0,0,1
0,5,31,25,3,0,0,0,0,0,1
42,6,31,25,3,0,0,0,0,0,1
255,7,31,25,3,0,0,0,0,0,1
330,8,31,25,3,0,0,0,0,0,1
573,9,31,25,3,0,0,0,0,0,1
821,10,31,25,3,0,0,0,0,0,1
325,11,31,25,3,0,0,0,0,0,1
991,12,31,25,3,0,0,0,0,0,1
1026,13,31,25,3,0,0,0,0,0,1
823,14,31,25,3,0,0,0,0,0,1
701,15,31,25,3,0,0,0,0,0,1
542,16,31,25,3,0,0,0,0,0,1
350,17,31,25,3,0,0,0,0,0,1
124,18,31,25,3,0,0,0,0,0,1
0,19,31,25,3,0,0,0,0,0,1
0,20,31,25,3,0,0,0,0,0,1
0,21,31,25,3,0,0,0,0,0,1
0,22,31,25,3,0,0,0,0,0,1
0,23,31,25,3,0,0,0,0,0,1
0,0,28,24,2,0,0,0,0,1,0
0,1,28,24,2,0,0,0,0,1,0
0,2,28,24,2,0,0,0,0,1,0
0,3,28,24,2,0,0,0,0,1,0
0,4,28,24,2,0,0,0,0,1,0
0,5,28,24,2,0,0,0,0,1,0
26,6,28,24,2,0,0,0,0,1,0
91,7,28,24,2,0,0,0,0,1,0
317,8,28,24,2,0,0,0,0,1,0
284,9,28,24,2,0,0,0,0,1,0
149,10,28,24,2,0,0,0,0,1,0
170,11,28,24,2,0,0,0,0,1,0
170,12,28,24,2,0,0,0,0,1,0
115,13,28,24,2,0,0,0,0,1,0
218,14,28,24,2,0,0,0,0,1,0
472,15,28,24,2,0,0,0,0,1,0
275,16,28,24,2,0,0,0,0,1,0
29,17,28,24,2,0,0,0,0,1,0
33,18,28,24,2,0,0,0,0,1,0
0,19,28,24,2,0,0,0,0,1,0
0,20,28,24,2,0,0,0,0,1,0
0,21,28,24,2,0,0,0,0,1,0
0,22,28,24,2,0,0,0,0,1,0
0,23,28,24,2,0,0,0,0,1,0
0,0,30,25,4,0,0,0,0,0,1
0,1,30,25,4,0,0,0,0,0,1
0,2,30,25,4,0,0,0,0,0,1
0,3,30,25,4,0,0,0,0,0,1
0,4,30,25,4,0,0,0,0,0,1
0,5,30,25,4,0,0,0,0,0,1
34,6,30,25,4,0,0,0,0,0,1
155,7,30,25,4,0,0,0,0,0,1
536,8,30,25,4,0,0,0,0,0,1
692,9,30,25,4,0,0,0,0,0,1
393,10,30,25,4,0,0,0,0,0,1
947,11,30,25,4,0,0,0,0,0,1
973,12,30,25,4,0,0,0,0,0,1
967,13,30,25,4,0,0,0,0,0,1
888,14,30,25,4,0,0,0,0,0,1
762,15,30,25,4,0,0,0,0,0,1
584,16,30,25,4,0,0,0,0,0,1
355,17,30,25,4,0,0,0,0,0,1
132,18,30,25,4,0,0,0,0,0,1
0,19,30,25,4,0,0,0,0,0,1
0,20,30,25,4,0,0,0,0,0,1
0,21,30,25,4,0,0,0,0,0,1
0,22,30,25,4,0,0,0,0,0,1
0,23,30,25,4,0,0,0,0,0,1
0,0,28,25,3,1,0,0,0,0,0
0,1,28,25,3,1,0,0,0,0,0
0,2,28,25,3,1,0,0,0,0,0
0,3,28,25,3,1,0,0,0,0,0
0,4,28,25,3,1,0,0,0,0,0
0,5,28,25,3,1,0,0,0,0,0
46,6,28,25,3,1,0,0,0,0,0
124,7,28,25,3,1,0,0,0,0,0
192,8,28,25,3,1,0,0,0,0,0
267,9,28,25,3,1,0,0,0,0,0
436,10,28,25,3,1,0,0,0,0,0
537,11,28,25,3,1,0,0,0,0,0
368,12,28,25,3,1,0,0,0,0,0
721,13,28,25,3,1,0,0,0,0,0
363,14,28,25,3,1,0,0,0,0,0
773,15,28,25,3,1,0,0,0,0,0
639,16,28,25,3,1,0,0,0,0,0
155,17,28,25,3,1,0,0,0,0,0
57,18,28,25,3,1,0,0,0,0,0
0,19,28,25,3,1,0,0,0,0,0
0,20,28,25,3,1,0,0,0,0,0
0,21,28,25,3,1,0,0,0,0,0
0,22,28,25,3,1,0,0,0,0,0
0,23,28,25,3,1,0,0,0,0,0
0,0,29,25,3,1,0,0,0,0,0
0,1,29,25,3,1,0,0,0,0,0
0,2,29,25,3,1,0,0,0,0,0
0,3,29,25,3,1,0,0,0,0,0
0,4,29,25,3,1,0,0,0,0,0
0,5,29,25,3,1,0,0,0,0,0
20,6,29,25,3,1,0,0,0,0,0
66,7,29,25,3,1,0,0,0,0,0
156,8,29,25,3,1,0,0,0,0,0
286,9,29,25,3,1,0,0,0,0,0
404,10,29,25,3,1,0,0,0,0,0
150,11,29,25,3,1,0,0,0,0,0
744,12,29,25,3,1,0,0,0,0,0
182,13,29,25,3,1,0,0,0,0,0
212,14,29,25,3,1,0,0,0,0,0
404,15,29,25,3,1,0,0,0,0,0
635,16,29,25,3,1,0,0,0,0,0
392,17,29,25,3,1,0,0,0,0,0
142,18,29,25,3,1,0,0,0,0,0
0,19,29,25,3,1,0,0,0,0,0
0,20,29,25,3,1,0,0,0,0,0
0,21,29,25,3,1,0,0,0,0,0
0,22,29,25,3,1,0,0,0,0,0
0,23,29,25,3,1,0,0,0,0,0
0,0,31,26,4,0,1,0,0,0,0
0,1,31,26,4,0,1,0,0,0,0
0,2,31,26,4,0,1,0,0,0,0
0,3,31,26,4,0,1,0,0,0,0
0,4,31,26,4,0,1,0,0,0,0
0,5,31,26,4,0,1,0,0,0,0
63,6,31,26,4,0,1,0,0,0,0
226,7,31,26,4,0,1,0,0,0,0
296,8,31,26,4,0,1,0,0,0,0
640,9,31,26,4,0,1,0,0,0,0
789,10,31,26,4,0,1,0,0,0,0
886,11,31,26,4,0,1,0,0,0,0
900,12,31,26,4,0,1,0,0,0,0
882,13,31,26,4,0,1,0,0,0,0
820,14,31,26,4,0,1,0,0,0,0
700,15,31,26,4,0,1,0,0,0,0
504,16,31,26,4,0,1,0,0,0,0
213,17,31,26,4,0,1,0,0,0,0
0,18,31,26,4,0,1,0,0,0,0
0,19,31,26,4,0,1,0,0,0,0
0,20,31,26,4,0,1,0,0,0,0
0,21,31,26,4,0,1,0,0,0,0
0,22,31,26,4,0,1,0,0,0,0
0,23,31,26,4,0,1,0,0,0,0
0,0,29,25,3,0,0,0,1,0,0
0,1,29,25,3,0,0,0,1,0,0
0,2,29,25,3,0,0,0,1,0,0
0,3,29,25,3,0,0,0,1,0,0
0,4,29,25,3,0,0,0,1,0,0
0,5,29,25,3,0,0,0,1,0,0
5,6,29,25,3,0,0,0,1,0,0
0,7,29,25,3,0,0,0,1,0,0
32,8,29,25,3,0,0,0,1,0,0
59,9,29,25,3,0,0,0,1,0,0
78,10,29,25,3,0,0,0,1,0,0
246,11,29,25,3,0,0,0,1,0,0
312,12,29,25,3,0,0,0,1,0,0
480,13,29,25,3,0,0,0,1,0,0
794,14,29,25,3,0,0,0,1,0,0
714,15,29,25,3,0,0,0,1,0,0
215,16,29,25,3,0,0,0,1,0,0
532,17,29,25,3,0,0,0,1,0,0
67,18,29,25,3,0,0,0,1,0,0
0,19,29,25,3,0,0,0,1,0,0
0,20,29,25,3,0,0,0,1,0,0
0,21,29,25,3,0,0,0,1,0,0
0,22,29,25,3,0,0,0,1,0,0
0,23,29,25,3,0,0,0,1,0,0
0,0,31,25,3,0,1,0,0,0,0
0,1,31,25,3,0,1,0,0,0,0
0,2,31,25,3,0,1,0,0,0,0
0,3,31,25,3,0,1,0,0,0,0
0,4,31,25,3,0,1,0,0,0,0
0,5,31,25,3,0,1,0,0,0,0
63,6,31,25,3,0,1,0,0,0,0
132,7,31,25,3,0,1,0,0,0,0
200,8,31,25,3,0,1,0,0,0,0
452,9,31,25,3,0,1,0,0,0,0
866,10,31,25,3,0,1,0,0,0,0
960,11,31,25,3,0,1,0,0,0,0
977,12,31,25,3,0,1,0,0,0,0
945,13,31,25,3,0,1,0,0,0,0
959,14,31,25,3,0,1,0,0,0,0
872,15,31,25,3,0,1,0,0,0,0
350,16,31,25,3,0,1,0,0,0,0
317,17,31,25,3,0,1,0,0,0,0
18,18,31,25,3,0,1,0,0,0,0
0,19,31,25,3,0,1,0,0,0,0
0,20,31,25,3,0,1,0,0,0,0
0,21,31,25,3,0,1,0,0,0,0
0,22,31,25,3,0,1,0,0,0,0
0,23,31,25,3,0,1,0,0,0,0
