TRI,hour,maxT,minT,windSpeed,cloudy,dark,heavy,light,sun
379,10,31,26,3,0,0,0,1,0
426,11,31,26,3,0,0,0,1,0
748,12,31,26,3,0,0,0,1,0
313,13,31,26,3,0,0,0,1,0
372,14,31,26,3,0,0,0,1,0
499,15,31,26,3,0,0,0,1,0
211,16,31,26,3,0,0,0,1,0
169,17,31,26,3,0,0,0,1,0
98,18,31,26,3,0,0,0,1,0
11,19,31,26,3,0,0,0,1,0
0,20,31,26,3,0,0,0,1,0
0,21,31,26,3,0,0,0,1,0
0,22,31,26,3,0,0,0,1,0
0,23,31,26,3,0,0,0,1,0
0,0,31,26,4,0,0,0,1,0
0,1,31,26,4,0,0,0,1,0
0,2,31,26,4,0,0,0,1,0
0,3,31,26,4,0,0,0,1,0
0,4,31,26,4,0,0,0,1,0
0,5,31,26,4,0,0,0,1,0
26,6,31,26,4,0,0,0,1,0
39,7,31,26,4,0,0,0,1,0
115,8,31,26,4,0,0,0,1,0
286,9,31,26,4,0,0,0,1,0
305,10,31,26,4,0,0,0,1,0
319,11,31,26,4,0,0,0,1,0
225,12,31,26,4,0,0,0,1,0
544,13,31,26,4,0,0,0,1,0
390,14,31,26,4,0,0,0,1,0
719,15,31,26,4,0,0,0,1,0
177,16,31,26,4,0,0,0,1,0
75,17,31,26,4,0,0,0,1,0
43,18,31,26,4,0,0,0,1,0
6,19,31,26,4,0,0,0,1,0
0,20,31,26,4,0,0,0,1,0
0,21,31,26,4,0,0,0,1,0
0,22,31,26,4,0,0,0,1,0
0,23,31,26,4,0,0,0,1,0
0,0,32,25,3,1,0,0,0,0
0,1,32,25,3,1,0,0,0,0
0,2,32,25,3,1,0,0,0,0
0,3,32,25,3,1,0,0,0,0
0,4,32,25,3,1,0,0,0,0
0,5,32,25,3,1,0,0,0,0
29,6,32,25,3,1,0,0,0,0
213,7,32,25,3,1,0,0,0,0
177,8,32,25,3,1,0,0,0,0
205,9,32,25,3,1,0,0,0,0
882,10,32,25,3,1,0,0,0,0
587,11,32,25,3,1,0,0,0,0
209,12,32,25,3,1,0,0,0,0
184,13,32,25,3,1,0,0,0,0
262,14,32,25,3,1,0,0,0,0
549,15,32,25,3,1,0,0,0,0
231,16,32,25,3,1,0,0,0,0
92,17,32,25,3,1,0,0,0,0
34,18,32,25,3,1,0,0,0,0
6,19,32,25,3,1,0,0,0,0
0,20,32,25,3,1,0,0,0,0
0,21,32,25,3,1,0,0,0,0
0,22,32,25,3,1,0,0,0,0
0,23,32,25,3,1,0,0,0,0
0,0,32,25,2,1,0,0,0,0
0,1,32,25,2,1,0,0,0,0
0,2,32,25,2,1,0,0,0,0
0,3,32,25,2,1,0,0,0,0
0,4,32,25,2,1,0,0,0,0
0,5,32,25,2,1,0,0,0,0
93,6,32,25,2,1,0,0,0,0
302,7,32,25,2,1,0,0,0,0
203,8,32,25,2,1,0,0,0,0
511,9,32,25,2,1,0,0,0,0
575,10,32,25,2,1,0,0,0,0
393,11,32,25,2,1,0,0,0,0
445,12,32,25,2,1,0,0,0,0
853,13,32,25,2,1,0,0,0,0
679,14,32,25,2,1,0,0,0,0
742,15,32,25,2,1,0,0,0,0
350,16,32,25,2,1,0,0,0,0
402,17,32,25,2,1,0,0,0,0
64,18,32,25,2,1,0,0,0,0
6,19,32,25,2,1,0,0,0,0
0,20,32,25,2,1,0,0,0,0
0,21,32,25,2,1,0,0,0,0
0,22,32,25,2,1,0,0,0,0
0,23,32,25,2,1,0,0,0,0
0,0,34,26,3,0,0,0,0,1
0,1,34,26,3,0,0,0,0,1
0,2,34,26,3,0,0,0,0,1
0,3,34,26,3,0,0,0,0,1
0,4,34,26,3,0,0,0,0,1
0,5,34,26,3,0,0,0,0,1
35,6,34,26,3,0,0,0,0,1
269,7,34,26,3,0,0,0,0,1
467,8,34,26,3,0,0,0,0,1
654,9,34,26,3,0,0,0,0,1
859,10,34,26,3,0,0,0,0,1
290,11,34,26,3,0,0,0,0,1
407,12,34,26,3,0,0,0,0,1
329,13,34,26,3,0,0,0,0,1
867,14,34,26,3,0,0,0,0,1
668,15,34,26,3,0,0,0,0,1
427,16,34,26,3,0,0,0,0,1
135,17,34,26,3,0,0,0,0,1
96,18,34,26,3,0,0,0,0,1
5,19,34,26,3,0,0,0,0,1
0,20,34,26,3,0,0,0,0,1
0,21,34,26,3,0,0,0,0,1
0,22,34,26,3,0,0,0,0,1
0,23,34,26,3,0,0,0,0,1
0,0,36,28,3,0,0,0,0,1
0,1,36,28,3,0,0,0,0,1
0,2,36,28,3,0,0,0,0,1
0,3,36,28,3,0,0,0,0,1
0,4,36,28,3,0,0,0,0,1
0,5,36,28,3,0,0,0,0,1
81,6,36,28,3,0,0,0,0,1
250,7,36,28,3,0,0,0,0,1
427,8,36,28,3,0,0,0,0,1
616,9,36,28,3,0,0,0,0,1
759,10,36,28,3,0,0,0,0,1
864,11,36,28,3,0,0,0,0,1
827,12,36,28,3,0,0,0,0,1
633,13,36,28,3,0,0,0,0,1
741,14,36,28,3,0,0,0,0,1
688,15,36,28,3,0,0,0,0,1
406,16,36,28,3,0,0,0,0,1
276,17,36,28,3,0,0,0,0,1
102,18,36,28,3,0,0,0,0,1
8,19,36,28,3,0,0,0,0,1
0,20,36,28,3,0,0,0,0,1
0,21,36,28,3,0,0,0,0,1
0,22,36,28,3,0,0,0,0,1
0,23,36,28,3,0,0,0,0,1
0,0,36,29,3,1,0,0,0,0
0,1,36,29,3,1,0,0,0,0
0,2,36,29,3,1,0,0,0,0
0,3,36,29,3,1,0,0,0,0
0,4,36,29,3,1,0,0,0,0
0,5,36,29,3,1,0,0,0,0
74,6,36,29,3,1,0,0,0,0
237,7,36,29,3,1,0,0,0,0
440,8,36,29,3,1,0,0,0,0
675,9,36,29,3,1,0,0,0,0
441,10,36,29,3,1,0,0,0,0
353,11,36,29,3,1,0,0,0,0
956,12,36,29,3,1,0,0,0,0
922,13,36,29,3,1,0,0,0,0
845,14,36,29,3,1,0,0,0,0
717,15,36,29,3,1,0,0,0,0
246,16,36,29,3,1,0,0,0,0
316,17,36,29,3,1,0,0,0,0
27,18,36,29,3,1,0,0,0,0
2,19,36,29,3,1,0,0,0,0
0,20,36,29,3,1,0,0,0,0
0,21,36,29,3,1,0,0,0,0
0,22,36,29,3,1,0,0,0,0
0,23,36,29,3,1,0,0,0,0
0,0,36,29,2,1,0,0,0,0
0,1,36,29,2,1,0,0,0,0
0,2,36,29,2,1,0,0,0,0
0,3,36,29,2,1,0,0,0,0
0,4,36,29,2,1,0,0,0,0
0,5,36,29,2,1,0,0,0,0
59,6,36,29,2,1,0,0,0,0
149,7,36,29,2,1,0,0,0,0
364,8,36,29,2,1,0,0,0,0
522,9,36,29,2,1,0,0,0,0
864,10,36,29,2,1,0,0,0,0
751,11,36,29,2,1,0,0,0,0
438,12,36,29,2,1,0,0,0,0
367,13,36,29,2,1,0,0,0,0
253,14,36,29,2,1,0,0,0,0
254,15,36,29,2,1,0,0,0,0
405,16,36,29,2,1,0,0,0,0
135,17,36,29,2,1,0,0,0,0
79,18,36,29,2,1,0,0,0,0
2,19,36,29,2,1,0,0,0,0
0,20,36,29,2,1,0,0,0,0
0,21,36,29,2,1,0,0,0,0
0,22,36,29,2,1,0,0,0,0
0,23,36,29,2,1,0,0,0,0
0,0,36,29,3,1,0,0,0,0
0,1,36,29,3,1,0,0,0,0
0,2,36,29,3,1,0,0,0,0
0,3,36,29,3,1,0,0,0,0
0,4,36,29,3,1,0,0,0,0
0,5,36,29,3,1,0,0,0,0
118,6,36,29,3,1,0,0,0,0
188,7,36,29,3,1,0,0,0,0
309,8,36,29,3,1,0,0,0,0
258,9,36,29,3,1,0,0,0,0
157,10,36,29,3,1,0,0,0,0
898,11,36,29,3,1,0,0,0,0
702,12,36,29,3,1,0,0,0,0
145,13,36,29,3,1,0,0,0,0
124,14,36,29,3,1,0,0,0,0
198,15,36,29,3,1,0,0,0,0
211,16,36,29,3,1,0,0,0,0
156,17,36,29,3,1,0,0,0,0
65,18,36,29,3,1,0,0,0,0
2,19,36,29,3,1,0,0,0,0
0,20,36,29,3,1,0,0,0,0
0,21,36,29,3,1,0,0,0,0
0,22,36,29,3,1,0,0,0,0
0,23,36,29,3,1,0,0,0,0
0,0,36,26,3,1,0,0,0,0
0,1,36,26,3,1,0,0,0,0
0,2,36,26,3,1,0,0,0,0
0,3,36,26,3,1,0,0,0,0
0,4,36,26,3,1,0,0,0,0
0,5,36,26,3,1,0,0,0,0
79,6,36,26,3,1,0,0,0,0
236,7,36,26,3,1,0,0,0,0
471,8,36,26,3,1,0,0,0,0
617,9,36,26,3,1,0,0,0,0
794,10,36,26,3,1,0,0,0,0
895,11,36,26,3,1,0,0,0,0
892,12,36,26,3,1,0,0,0,0
929,13,36,26,3,1,0,0,0,0
835,14,36,26,3,1,0,0,0,0
504,15,36,26,3,1,0,0,0,0
128,16,36,26,3,1,0,0,0,0
96,17,36,26,3,1,0,0,0,0
58,18,36,26,3,1,0,0,0,0
0,19,36,26,3,1,0,0,0,0
0,20,36,26,3,1,0,0,0,0
0,21,36,26,3,1,0,0,0,0
0,22,36,26,3,1,0,0,0,0
0,23,36,26,3,1,0,0,0,0
0,0,37,29,2,1,0,0,0,0
0,1,37,29,2,1,0,0,0,0
0,2,37,29,2,1,0,0,0,0
0,3,37,29,2,1,0,0,0,0
0,4,37,29,2,1,0,0,0,0
0,5,37,29,2,1,0,0,0,0
37,6,37,29,2,1,0,0,0,0
55,7,37,29,2,1,0,0,0,0
130,8,37,29,2,1,0,0,0,0
474,9,37,29,2,1,0,0,0,0
401,10,37,29,2,1,0,0,0,0
483,11,37,29,2,1,0,0,0,0
427,12,37,29,2,1,0,0,0,0
381,13,37,29,2,1,0,0,0,0
443,14,37,29,2,1,0,0,0,0
251,15,37,29,2,1,0,0,0,0
211,16,37,29,2,1,0,0,0,0
261,17,37,29,2,1,0,0,0,0
105,18,37,29,2,1,0,0,0,0
8,19,37,29,2,1,0,0,0,0
0,20,37,29,2,1,0,0,0,0
0,21,37,29,2,1,0,0,0,0
0,22,37,29,2,1,0,0,0,0
0,23,37,29,2,1,0,0,0,0
0,0,37,29,3,0,0,0,0,1
0,1,37,29,3,0,0,0,0,1
0,2,37,29,3,0,0,0,0,1
0,3,37,29,3,0,0,0,0,1
0,4,37,29,3,0,0,0,0,1
0,5,37,29,3,0,0,0,0,1
82,6,37,29,3,0,0,0,0,1
236,7,37,29,3,0,0,0,0,1
328,8,37,29,3,0,0,0,0,1
461,9,37,29,3,0,0,0,0,1
808,10,37,29,3,0,0,0,0,1
926,11,37,29,3,0,0,0,0,1
974,12,37,29,3,0,0,0,0,1
914,13,37,29,3,0,0,0,0,1
840,14,37,29,3,0,0,0,0,1
256,15,37,29,3,0,0,0,0,1
582,16,37,29,3,0,0,0,0,1
317,17,37,29,3,0,0,0,0,1
84,18,37,29,3,0,0,0,0,1
2,19,37,29,3,0,0,0,0,1
0,20,37,29,3,0,0,0,0,1
0,21,37,29,3,0,0,0,0,1
0,22,37,29,3,0,0,0,0,1
0,23,37,29,3,0,0,0,0,1
0,0,38,29,4,0,0,0,0,1
0,1,38,29,4,0,0,0,0,1
0,2,38,29,4,0,0,0,0,1
0,3,38,29,4,0,0,0,0,1
0,4,38,29,4,0,0,0,0,1
0,5,38,29,4,0,0,0,0,1
64,6,38,29,4,0,0,0,0,1
253,7,38,29,4,0,0,0,0,1
448,8,38,29,4,0,0,0,0,1
638,9,38,29,4,0,0,0,0,1
827,10,38,29,4,0,0,0,0,1
975,11,38,29,4,0,0,0,0,1
1002,12,38,29,4,0,0,0,0,1
976,13,38,29,4,0,0,0,0,1
843,14,38,29,4,0,0,0,0,1
571,15,38,29,4,0,0,0,0,1
490,16,38,29,4,0,0,0,0,1
225,17,38,29,4,0,0,0,0,1
73,18,38,29,4,0,0,0,0,1
4,19,38,29,4,0,0,0,0,1
0,20,38,29,4,0,0,0,0,1
0,21,38,29,4,0,0,0,0,1
0,22,38,29,4,0,0,0,0,1
0,23,38,29,4,0,0,0,0,1
0,0,38,29,3,0,0,0,0,1
0,1,38,29,3,0,0,0,0,1
0,2,38,29,3,0,0,0,0,1
0,3,38,29,3,0,0,0,0,1
0,4,38,29,3,0,0,0,0,1
0,5,38,29,3,0,0,0,0,1
47,6,38,29,3,0,0,0,0,1
232,7,38,29,3,0,0,0,0,1
454,8,38,29,3,0,0,0,0,1
653,9,38,29,3,0,0,0,0,1
838,10,38,29,3,0,0,0,0,1
821,11,38,29,3,0,0,0,0,1
810,12,38,29,3,0,0,0,0,1
917,13,38,29,3,0,0,0,0,1
894,14,38,29,3,0,0,0,0,1
603,15,38,29,3,0,0,0,0,1
348,16,38,29,3,0,0,0,0,1
321,17,38,29,3,0,0,0,0,1
41,18,38,29,3,0,0,0,0,1
1,19,38,29,3,0,0,0,0,1
0,20,38,29,3,0,0,0,0,1
0,21,38,29,3,0,0,0,0,1
0,22,38,29,3,0,0,0,0,1
0,23,38,29,3,0,0,0,0,1
0,0,38,28,3,1,0,0,0,0
0,1,38,28,3,1,0,0,0,0
0,2,38,28,3,1,0,0,0,0
0,3,38,28,3,1,0,0,0,0
0,4,38,28,3,1,0,0,0,0
0,5,38,28,3,1,0,0,0,0
44,6,38,28,3,1,0,0,0,0
149,7,38,28,3,1,0,0,0,0
446,8,38,28,3,1,0,0,0,0
453,9,38,28,3,1,0,0,0,0
847,10,38,28,3,1,0,0,0,0
864,11,38,28,3,1,0,0,0,0
826,12,38,28,3,1,0,0,0,0
581,13,38,28,3,1,0,0,0,0
746,14,38,28,3,1,0,0,0,0
539,15,38,28,3,1,0,0,0,0
490,16,38,28,3,1,0,0,0,0
182,17,38,28,3,1,0,0,0,0
66,18,38,28,3,1,0,0,0,0
0,19,38,28,3,1,0,0,0,0
0,20,38,28,3,1,0,0,0,0
0,21,38,28,3,1,0,0,0,0
0,22,38,28,3,1,0,0,0,0
0,23,38,28,3,1,0,0,0,0
